id,year,y,x1,x2,post,thresh,count_y
1,2000,5.14,0.1,0.2,0,0.2,2
1,2001,5.29,0.15,0.4,0,0.3,3
1,2002,5.44,0.2,0.6,0,0.4,4
1,2003,5.59,0.25,0.8,0,0.5,2
1,2004,5.94,0.3,0.0,1,0.6,3
1,2005,6.09,0.35,0.2,1,0.7,4
1,2006,6.24,0.4,0.4,1,0.8,2
1,2007,6.39,0.45,0.6,1,0.9,3
2,2000,5.28,0.2,0.4,0,0.4,3
2,2001,5.43,0.25,0.6,0,0.5,4
2,2002,5.58,0.3,0.8,0,0.6,5
2,2003,5.93,0.35,0.0,0,0.7,3
2,2004,6.08,0.4,0.2,1,0.8,4
2,2005,6.23,0.45,0.4,1,0.9,5
2,2006,6.38,0.5,0.6,1,1.0,3
2,2007,6.53,0.55,0.8,1,1.1,4
3,2000,5.12,0.3,0.6,0,0.6,4
3,2001,5.27,0.35,0.8,0,0.7,5
3,2002,5.62,0.4,0.0,0,0.8,6
3,2003,5.77,0.45,0.2,0,0.9,4
3,2004,5.92,0.5,0.4,1,1.0,5
3,2005,6.07,0.55,0.6,1,1.1,6
3,2006,6.22,0.6,0.8,1,1.2,4
3,2007,6.57,0.65,0.0,1,1.3,5
4,2000,5.26,0.4,0.8,0,0.8,5
4,2001,5.61,0.45,0.0,0,0.9,6
4,2002,5.76,0.5,0.2,0,1.0,7
4,2003,5.91,0.55,0.4,0,1.1,5
4,2004,6.06,0.6,0.6,1,1.2,6
4,2005,6.21,0.65,0.8,1,1.3,7
4,2006,6.56,0.7,0.0,1,1.4,5
4,2007,6.71,0.75,0.2,1,1.5,6
5,2000,5.6,0.5,0.0,0,1.0,1
5,2001,5.75,0.55,0.2,0,1.1,2
5,2002,5.9,0.6,0.4,0,1.2,3
5,2003,6.05,0.65,0.6,0,1.3,1
5,2004,6.2,0.7,0.8,1,1.4,2
5,2005,6.55,0.75,0.0,1,1.5,3
5,2006,6.7,0.8,0.2,1,1.6,1
5,2007,6.85,0.85,0.4,1,1.7,2
6,2000,5.44,0.6,0.2,0,1.2,2
6,2001,5.59,0.65,0.4,0,1.3,3
6,2002,5.74,0.7,0.6,0,1.4,4
6,2003,5.89,0.75,0.8,0,1.5,2
6,2004,6.24,0.8,0.0,1,1.6,3
6,2005,6.39,0.85,0.2,1,1.7,4
6,2006,6.54,0.9,0.4,1,1.8,2
6,2007,6.69,0.95,0.6,1,1.9,3
7,2000,5.58,0.7,0.4,0,1.4,3
7,2001,5.73,0.75,0.6,0,1.5,4
7,2002,5.88,0.8,0.8,0,1.6,5
7,2003,6.23,0.85,0.0,0,1.7,3
7,2004,6.38,0.9,0.2,1,1.8,4
7,2005,6.53,0.95,0.4,1,1.9,5
7,2006,6.68,1.0,0.6,1,2.0,3
7,2007,6.83,1.05,0.8,1,2.1,4
8,2000,5.72,0.8,0.6,0,1.6,4
8,2001,5.87,0.85,0.8,0,1.7,5
8,2002,6.22,0.9,0.0,0,1.8,6
8,2003,6.37,0.95,0.2,0,1.9,4
8,2004,6.52,1.0,0.4,1,2.0,5
8,2005,6.67,1.05,0.6,1,2.1,6
8,2006,6.82,1.1,0.8,1,2.2,4
8,2007,7.17,1.15,0.0,1,2.3,5
9,2000,5.56,0.9,0.8,0,1.8,5
