id,year,y,x,treat,post,cluster,province
1,2000,10.0,1.2,0,0,1,A
1,2001,10.1,1.3,0,0,1,A
1,2002,10.2,1.4,0,0,1,A
1,2003,10.3,1.5,0,0,1,A
1,2004,10.4,1.6,0,0,1,A
1,2005,10.5,1.7,0,0,1,A
2,2000,8.0,0.8,1,0,2,B
2,2001,8.1,0.9,1,0,2,B
2,2002,8.2,1.0,1,0,2,B
2,2003,9.0,1.1,1,1,2,B
2,2004,9.2,1.2,1,1,2,B
2,2005,9.3,1.3,1,1,2,B
3,2000,7.2,0.4,0,0,3,C
3,2001,7.3,0.5,0,0,3,C
3,2002,7.4,0.6,0,0,3,C
3,2003,7.5,0.7,0,0,3,C
3,2004,7.6,0.8,0,0,3,C
3,2005,7.7,0.9,0,0,3,C
4,2000,9.0,1.0,0,0,4,D
4,2001,9.1,1.1,0,0,4,D
4,2002,9.2,1.2,0,0,4,D
4,2003,9.3,1.3,0,0,4,D
4,2004,9.4,1.4,0,0,4,D
4,2005,9.5,1.5,0,0,4,D
5,2000,6.5,0.6,0,0,5,E
5,2001,6.6,0.7,0,0,5,E
5,2002,6.7,0.8,0,0,5,E
5,2003,6.8,0.9,0,0,5,E
5,2004,6.9,1.0,0,0,5,E
5,2005,7.0,1.1,0,0,5,E
