id,match_id,outcome,predictor,test,gold,rater1,rater2,treatment,exposure,case,cases,pyears,group,strata,effect,se,study,measure1,measure2
1,1,1,0.1,0,0,1,0,0,0,1,6,101,1,1,0.002,0.051,1,10.1,10.3
2,1,0,0.2,0,0,0,1,0,0,0,7,102,1,1,0.004,0.052,2,10.2,10.2
3,2,1,0.3,0,0,1,0,1,0,1,8,103,1,1,0.006,0.053,3,10.3,10.5
4,2,0,0.4,0,0,0,1,0,1,0,9,104,1,1,0.008,0.054,4,10.4,10.4
5,3,1,0.5,1,0,1,0,0,0,1,10,105,1,1,0.010,0.055,5,10.5,10.7
6,3,0,0.6,0,1,0,1,1,0,0,5,106,1,1,0.012,0.056,6,10.6,10.6
7,4,1,0.7,0,0,1,0,0,0,1,6,107,1,1,0.014,0.057,7,10.7,10.9
8,4,0,0.8,0,0,0,1,0,1,0,7,108,1,1,0.016,0.058,8,10.8,10.8
9,5,1,0.9,0,0,1,0,1,0,1,8,109,1,1,0.018,0.059,9,10.9,11.1
10,5,0,1.0,1,0,0,1,0,0,0,9,110,1,1,0.020,0.060,10,11.0,11.0
11,6,1,1.1,0,0,1,0,0,0,1,10,111,1,1,0.022,0.061,11,11.1,11.3
12,6,0,1.2,0,1,0,1,1,1,0,5,112,1,1,0.024,0.062,12,11.2,11.2
13,7,1,1.3,0,0,1,0,0,0,1,6,113,1,1,0.026,0.063,13,11.3,11.5
14,7,0,1.4,0,0,0,1,0,0,0,7,114,1,1,0.028,0.064,14,11.4,11.4
15,8,1,1.5,1,0,1,0,1,0,1,8,115,1,1,0.030,0.065,15,11.5,11.7
16,8,0,1.6,0,0,0,1,0,1,0,9,116,1,1,0.032,0.066,16,11.6,11.6
17,9,1,1.7,0,0,1,0,0,0,1,10,117,1,1,0.034,0.067,17,11.7,11.9
18,9,0,1.8,0,1,0,1,1,0,0,5,118,1,1,0.036,0.068,18,11.8,11.8
19,10,1,1.9,0,0,1,0,0,0,1,6,119,1,1,0.038,0.069,19,11.9,12.1
20,10,0,2.0,1,0,0,1,0,1,0,7,120,1,1,0.040,0.070,20,12.0,12.0
21,11,1,2.1,0,0,1,0,0,0,1,8,121,1,1,0.042,0.071,21,12.1,12.3
22,11,0,2.2,0,0,0,1,1,0,0,9,122,1,1,0.044,0.072,22,12.2,12.2
23,12,1,2.3,0,0,1,0,0,0,1,10,123,1,1,0.046,0.073,23,12.3,12.5
24,12,0,2.4,0,1,0,1,0,1,0,5,124,1,1,0.048,0.074,24,12.4,12.4
25,13,1,2.5,1,0,1,0,1,0,1,6,125,1,1,0.050,0.075,25,12.5,12.7
26,13,0,2.6,0,0,0,1,0,0,0,7,126,2,2,0.052,0.076,26,12.6,12.6
27,14,1,2.7,0,0,1,0,0,0,1,8,127,2,2,0.054,0.077,27,12.7,12.9
28,14,0,2.8,0,1,0,1,1,1,0,9,128,2,2,0.056,0.078,28,12.8,12.8
29,15,1,2.9,0,0,1,0,0,0,1,10,129,2,2,0.058,0.079,29,12.9,13.1
30,15,0,3.0,1,0,0,1,0,0,0,5,130,2,2,0.060,0.080,30,13.0,13.0
31,16,1,3.1,0,0,1,0,0,0,1,6,131,2,2,0.062,0.081,31,13.1,13.3
32,16,0,3.2,0,0,0,1,1,1,0,7,132,2,2,0.064,0.082,32,13.2,13.2
33,17,1,3.3,0,0,1,0,0,0,1,8,133,2,2,0.066,0.083,33,13.3,13.5
34,17,0,3.4,0,1,0,1,0,0,0,9,134,2,2,0.068,0.084,34,13.4,13.4
35,18,1,3.5,1,0,1,0,1,0,1,10,135,2,2,0.070,0.085,35,13.5,13.7
36,18,0,3.6,0,0,0,1,0,1,0,5,136,2,2,0.072,0.086,36,13.6,13.6
37,19,1,3.7,0,0,1,0,0,0,1,6,137,2,2,0.074,0.087,37,13.7,13.9
38,19,0,3.8,0,1,0,1,1,0,0,7,138,2,2,0.076,0.088,38,13.8,13.8
39,20,1,3.9,0,0,1,0,0,0,1,8,139,2,2,0.078,0.089,39,13.9,14.1
40,20,0,4.0,1,0,0,1,0,1,0,9,140,2,2,0.080,0.090,40,14.0,14.0
41,21,1,4.1,0,0,1,0,0,0,1,10,141,2,2,0.082,0.091,41,14.1,14.3
42,21,0,4.2,0,0,0,1,1,0,0,5,142,2,2,0.084,0.092,42,14.2,14.2
43,22,1,4.3,0,0,1,0,0,0,1,6,143,2,2,0.086,0.093,43,14.3,14.5
44,22,0,4.4,0,1,0,1,0,1,0,7,144,2,2,0.088,0.094,44,14.4,14.4
45,23,1,4.5,1,0,1,0,1,0,1,8,145,2,2,0.090,0.095,45,14.5,14.7
46,23,0,4.6,0,0,0,1,0,0,0,9,146,2,2,0.092,0.096,46,14.6,14.6
47,24,1,4.7,0,0,1,0,0,0,1,10,147,2,2,0.094,0.097,47,14.7,14.9
48,24,0,4.8,0,1,0,1,1,1,0,5,148,2,2,0.096,0.098,48,14.8,14.8
49,25,1,4.9,0,0,1,0,0,0,1,6,149,2,2,0.098,0.099,49,14.9,15.1
50,25,0,5.0,1,0,0,1,0,0,0,7,150,2,2,0.100,0.100,50,15.0,15.0
