id,year,y,x,treat,post,cluster,province
1,2000,9.05,1.1,0,0,1,A
1,2001,9.35,1.12,0,0,1,A
1,2002,9.65,1.14,0,0,1,A
1,2003,9.95,1.16,0,0,1,A
1,2004,10.25,1.18,0,0,1,A
1,2005,10.55,1.2,0,1,1,A
1,2006,10.85,1.22,0,1,1,A
1,2007,11.15,1.24,0,1,1,A
1,2008,11.45,1.26,0,1,1,A
1,2009,11.75,1.28,0,1,1,A
2,2000,8.1,1.2,1,0,2,B
2,2001,8.4,1.22,1,0,2,B
2,2002,8.7,1.24,1,0,2,B
2,2003,9.0,1.26,1,0,2,B
2,2004,9.3,1.28,1,0,2,B
2,2005,9.6,1.3,1,1,2,B
2,2006,9.9,1.32,1,1,2,B
2,2007,10.2,1.34,1,1,2,B
2,2008,10.5,1.36,1,1,2,B
2,2009,10.8,1.38,1,1,2,B
3,2000,7.15,1.3,0,0,3,C
3,2001,7.45,1.32,0,0,3,C
3,2002,7.75,1.34,0,0,3,C
3,2003,8.05,1.36,0,0,3,C
3,2004,8.35,1.38,0,0,3,C
3,2005,8.65,1.4,0,1,3,C
3,2006,8.95,1.42,0,1,3,C
3,2007,9.25,1.44,0,1,3,C
3,2008,9.55,1.46,0,1,3,C
3,2009,9.85,1.48,0,1,3,C
