id,year,y,x,treat,post,cluster,province
1,2000,10.0,1.0,0,0,1,A
1,2001,10.7,1.05,1,0,1,A
1,2002,11.4,1.1,0,0,1,A
1,2003,12.1,1.15,1,0,1,A
1,2004,10.8,1.2,0,0,1,A
1,2005,11.5,1.25,1,0,1,A
1,2006,12.2,1.3,0,0,1,A
1,2007,12.9,1.35,1,0,1,A
1,2008,11.6,1.4,0,0,1,A
1,2009,12.3,1.45,1,0,1,A
1,2010,13.0,1.5,0,0,1,A
1,2011,13.7,1.55,1,0,1,A
1,2012,12.4,1.6,0,1,1,A
1,2013,13.1,1.65,1,1,1,A
1,2014,13.8,1.7,0,1,1,A
1,2015,14.5,1.75,1,1,1,A
1,2016,13.2,1.8,0,1,1,A
1,2017,13.9,1.85,1,1,1,A
1,2018,14.6,1.9,0,1,1,A
1,2019,15.3,1.95,1,1,1,A
1,2020,14.0,2.0,0,1,1,A
1,2021,14.7,2.05,1,1,1,A
1,2022,15.4,2.1,0,1,1,A
1,2023,16.1,2.15,1,1,1,A
